violation_section,violation_section_description
23550(A),"(a) If a person is convicted of a violation of Section 23152 and the offense occurred within 10 years of three or more separate violations of Section 23103, as specified in Section 23103.5, or Section 23152 or 23153, or any combination thereof, that resulted in convictions, that person shall be punished by imprisonment pursuant to subdivision (h) of Section 1170 of the Penal Code, or in a county jail for not less than 180 days nor more than one year, and by a fine of not less than three hundred ninety dollars ($390) nor more than one thousand dollars ($1,000). The person’s privilege to operate a motor vehicle shall be revoked by the Department of Motor Vehicles pursuant to paragraph (7) of subdivision (a) of Section 13352. The court shall require the person to surrender the driver’s license to the court in accordance with Section 13550."
21953,"(a) Whenever any pedestrian crosses a roadway other than by means of a pedestrian tunnel or overhead pedestrian crossing, if a pedestrian tunnel or overhead crossing serves the place where the pedestrian is crossing the roadway, such pedestrian shall yield the right-of-way to all vehicles on the highway so near as to constitute an immediate hazard.

(b) This section shall not be construed to mean that a marked crosswalk, with or without a signal device, cannot be installed where a pedestrian tunnel or overhead crossing exists.

(c)(1) A peace officer, as defined in Chapter 4.5 (commencing with Section 830) of Title 3 of Part 2 of the Penal Code, shall not stop a pedestrian for a violation of subdivision (a) unless a reasonably careful person would realize there is an immediate danger of a collision with a moving vehicle or other device moving exclusively by human power.

(2) This subdivision does not relieve a pedestrian from the duty of using due care for their safety.

(3) This subdivision does not relieve a driver of a vehicle from the duty of exercising due care for the safety of any pedestrian within the roadway."
21660,"Drivers of vehicles proceeding in opposite directions shall pass each other to the right, and, except when a roadway has been divided into traffic lanes, each driver shall give to the other at least one-half of the main traveled portion of the roadway whenever possible."
21753,"VC 21753 states that drivers must yield for passing vehicles."
21658B,"(b) Official signs may be erected directing slow-moving traffic to use a designated lane or allocating specified lanes to traffic moving in the same direction, and drivers of vehicles shall obey the directions of the traffic device."
27501B,"(b) No person shall use on a highway a pneumatic tire which is not in conformance with such regulations."
21201(D)(2),"you must place a red reflector or light on the rear of your bike if you're traveling after dark."
21454C,"(c) Steady red indication: A driver shall not enter or travel in any lane over which a red signal is shown."
2818,"It is unlawful to traverse an electronic beacon pattern, a flare pattern, cone pattern, or combination of electronic beacon, flare, or cone patterns, provided for the regulation of traffic, or provided in a situation where public safety personnel are engaged in traffic control or emergency scene management."
22653(B),"(b) Any peace officer, as that term is defined in Chapter 4.5 (commencing with Section 830) of Title 3 of Part 2 of the Penal Code, may, after a reasonable period of time, remove a vehicle from private property located within the territorial limits in which the officer is empowered to act, if the vehicle has been involved in, and left at the scene of, a traffic accident and no owner is available to grant permission to remove the vehicle. This subdivision does not authorize the removal of a vehicle where the owner has been contacted and has refused to grant permission to remove the vehicle."
21106B,"(b) Local authorities may install signs at or adjacent to an intersection directing that pedestrians shall not cross in a crosswalk indicated at the intersection. It is unlawful for any pedestrian to cross at the crosswalk prohibited by a sign."
23154(A),"(a) It is unlawful for a person who is on probation for a violation of Section 23152 or 23153 to operate a motor vehicle at any time with a blood-alcohol concentration of 0.01 percent or greater, as measured by a preliminary alcohol screening test or other chemical test."
21113A,"SECTION 21113 (a), and (b), VEHICLE CODE 5131.3. REVISED: 1. No person shall be allowed to stop, park, or leave standing any vehicle or animal, whether attended or unattended upon the paths, driveways or grounds of the schools of the District which are marked clearly and legibly with the words "NO PARKING"."
29004A," Except as required under paragraph (2), a towed vehicle shall be coupled to the towing vehicle by means of a safety chain, cable, or equivalent device in addition to the regular drawbar, tongue, or other connection."
38330,"It is unlawful to operate any vehicle or combination of vehicles which is in an unsafe condition, which is not equipped as required by this chapter or the equipment regulations of the governmental agency having jurisdiction over public lands, or which is not safely loaded."
22526(C),"(c) A driver of a vehicle shall not enter a railroad or rail transit crossing, notwithstanding any official traffic control device or signal indication to proceed, unless there is sufficient undercarriage clearance to cross the intersection without obstructing the through passage of a railway vehicle, including, but not limited to, a train, trolley, or city transit vehicle."
27315D,"(d)(1) A person shall not operate a motor vehicle on a highway unless that person and all passengers 16 years of age or over are properly restrained by a safety belt. This paragraph does not apply to the operator of a taxicab, as defined in Section 27908, when the taxicab is driven on a city street and is engaged in the transportation of a fare-paying passenger. The safety belt requirement established by this paragraph is the minimum safety standard applicable to employees being transported in a motor vehicle. This paragraph does not preempt more stringent or restrictive standards imposed by the Labor Code or another state or federal regulation regarding the transportation of employees in a motor vehicle.

(2) For purposes of this section the phrase, “properly restrained by a safety belt” means that the lower (lap) portion of the belt crosses the hips or upper thighs of the occupant and the upper (shoulder) portion of the belt, if present, crosses the chest in front of the occupant.

(3) The operator of a limousine for hire or the operator of an authorized emergency vehicle, as defined in subdivision (a) of Section 165, shall not operate the limousine for hire or authorized emergency vehicle unless the operator and any passengers eight years of age or over in the front seat, are properly restrained by a safety belt.

(4) The operator of a taxicab shall not operate the taxicab unless any passengers eight years of age or over in the front seat, are properly restrained by a safety belt."
23104,"Reckless driving that proximately causes bodily injury to person other than driver"
21712A,"It is a crime for a driver to let someone ride in part of a vehicle not intended for passengers, ride in the trunk of a car, or ride in a vehicle that the driver is towing."
31,"California statute that makes it a misdemeanor to provide false information or documentation to a police officer. "
22110(B),"In the event the signal lamps become inoperable while driving, hand and arm signals shall be used in the manner required in this chapter."
23116A,"(a) No person driving a pickup truck or a flatbed motortruck on a highway shall transport any person in or on the back of the truck."
38312,"No person shall place in motion an off-highway motor vehicle that is stopped, standing, or parked until such movement can be made with reasonable safety."
21712(H),"California Vehicle Code 21712 VC is the statute that makes it a crime for a driver to let someone ride in part of a vehicle not intended for passengers, ride in the trunk of a car, or ride in a vehicle that the driver is towing."
21700,"No person shall drive a vehicle when it is so loaded, or when there are in the front seat such number of persons as to obstruct the view of the driver to the front or sides of the vehicle or as to interfere with the driver's control over the driving mechanism of the vehicle."
22651C," Displaying in, or upon, the vehicle, an altered, forged, counterfeit, or falsified registration card, identification card, temporary receipt, license plate, special plate, registration sticker, device issued pursuant to Section 4853, or permit."
38320A,"(a) No person shall throw or deposit, nor shall the registered owner or the driver, if such owner is not then present in the vehicle, aid or abet in the throwing or depositing, upon any area, public or private, any bottle, can, garbage, glass, nail, offal, paper, wire, any substance likely to injure or kill wild or domestic animal or plant life or damage traffic using such area, or any noisome, nauseous or offensive matter of any kind."
21963,"California gives special protection to blind pedestrians, who use a cane and/or service dog"
21200.5,"Notwithstanding Section 21200, it is unlawful for any person to ride a bicycle upon a highway while under the influence of an alcoholic beverage or any drug, or under the combined influence of an alcoholic beverage and any drug."
21201(D)(1),"requires that your bicycle be equipped with a white light that is visible from a distance of 300 feet from the front and side of your bicycle."
29003A,"(a) Every hitch or coupling device used as a means of attaching the towed and towing vehicles shall be properly and securely mounted and be structurally adequate for the weight drawn."
22504A,"(a) Upon any highway in unincorporated areas, a person shall not stop, park, or leave standing any vehicle, whether attended or unattended, upon the roadway when it is practicable to stop, park, or leave the vehicle off such portion of the highway, but in every event an unobstructed width of the highway opposite a standing vehicle shall be left for the free passage of other vehicles and a clear view of the stopped vehicle shall be available from a distance of 200 feet in each direction upon the highway. This section shall not apply upon a highway where the roadway is bounded by adjacent curbs."
23140A,"(a) It is unlawful for a person under the age of 21 years who has 0.05 percent or more, by weight, of alcohol in his or her blood to drive a vehicle."
22651G,"(g) If the person in charge of a vehicle upon a highway or public land is, by reason of physical injuries or illness, incapacitated to an extent so as to be unable to provide for its custody or removal."
16500.5A1,"Except as specified in subdivision (b), the owner of the following commercial vehicles shall maintain proof of financial responsibility in the amount required by the director:

(1) A vehicle used to carry passengers for hire, except taxicabs as defined in subdivision (c) of Section 27908."
21457B,"Flashing yellow (caution signal): When a yellow lens is illuminated with rapid intermittent flashes,a driver may proceed through the intersection or past the signal only with caution"
23152D,"VC prohibits anyone with a commercial license from driving a commercial vehicle with a blood alcohol concentration of 0.04 percent or higher"
21655.8,"Lanes need to be properly marked to ensure that individuals know when to enter or to exit the lane properly"
22348C,"defines the fast lane as the innermost lane on a divided four-lane freeway or the one immediately to the right of a carpool lane. Vehicles in this lane are expected to move at the highest speed at any time of the day"
22500I,"parking violation to stop, park, or leave your vehicle in certain locations"
21717,"Whenever it is necessary for the driver of a motor vehicle to cross a bicycle lane that is adjacent to his lane of travel to make a turn, the driver shall drive the motor vehicle into the bicycle lane prior to making the turn and shall make the turn pursuant to Section 22100."
23105A,"Reckless driving that proximately causes one or more of specified injuries to person other than driver
(a) A person convicted of reckless driving in violation of Section 23103 that proximately causes one or more of the injuries specified in subdivision (b) to a person other than the driver, shall be punished by imprisonment pursuant to subdivision (h) of Section 1170 of the Penal Code, or by imprisonment in a county jail for not less than 30 days nor more than six months, or by a fine of not less than two hundred twenty dollars ($220) nor more than one thousand dollars ($1,000), or by both that fine and imprisonment."
38304,"The operator of an off-highway motor vehicle shall be able to reach and operate all controls necessary to safely operate the vehicle."
2800.3,"Evading A Peace Officer And Causing Death Or Serious Bodily Injury. "
23109.2A1,"(a)(1) Whenever a peace officer determines that a person was engaged in any of the activities set forth in paragraph (2), the peace officer may immediately arrest and take into custody that person and may cause the removal and seizure of the motor vehicle used in that offense in accordance with Chapter 10 (commencing with Section 22650). A motor vehicle so seized may be impounded for not more than 30 days."
22651(H)(1),"(h) (1) If an officer arrests a person driving or in control of a vehicle for an alleged offense and the officer is, by this code or other law, required or permitted to take, and does take, the person into custody."
21701,"No person shall wilfully interfere with the driver of a vehicle or with the mechanism thereof in such manner as to affect the driver's control of the vehicle."
22526(B),"(b) A driver of a vehicle which is making a turn at an intersection who is facing a steady circular yellow or yellow arrow signal shall not enter the intersection or marked crosswalk unless there is sufficient space on the other side of the intersection or marked crosswalk to accommodate the vehicle driven without obstructing the through passage of vehicles from either side."
21966,"Prohibited use of bicycle path by pedestrian"
21710,"The driver of a motor vehicle when traveling on down grade upon any highway shall not coast with the gears of such vehicle in neutral."
23127,"no person(s) may drive an “unauthorized vehicle” on any state, county, city, private, or district path/trail that is marked with proper signage."
34506.3,"Except as otherwise provided in this division, it is an infraction to fail to comply with any rule or regulation adopted by the department pursuant to this division."
21718(A),"No person shall stop, park, or leave standing any vehicle upon a freeway which has full control of access and no crossings at grade except: (1) When necessary to avoid injury or damage to persons or property."
16020(A),"(a) All drivers and all owners of a motor vehicle shall at all times be able to establish financial responsibility pursuant to Section 16021, and shall at all times carry in the vehicle evidence of the form of financial responsibility in effect for the vehicle."
12814.6(B)1B,"Driving during the first 12 months after the issuance of a provisional license between the hours of 11 PM and 5 AM, or while transporting passengers under 20 years old."
14601.5(B),"Except in full compliance with the restriction with the restriction, a person shall not drive a motor vehicle at any time when that person's driving privilege is restricted pursuant to Section "
21209B,"This code tells California drivers that they are not allowed to drive their vehicle in a marked and established bike lane on the road."
23222(A),"Nobody shall have in their possession on their person while driving a motor vehicle upon a highway or lands, any bottle, can, or another receptacle, containing any alcoholic beverage which has been opened, or a seal broken, or the contents of which have been partially removed.”
21970(A),"forbids drivers from stopping in a crosswalk and blocking it “unnecessarily.”"
12951A,"it is unlawful to drive a vehicle without a valid driver's license issued by California's Department of Motor Vehicles (DMV)."
26708(A)(1),"A person shall not drive any motor vehicle with any object or material placed, displayed, installed, affixed, or applied upon the windshield or side or rear windows."
2800.2,"felony reckless evading statute is used to prosecute people fleeing police. The statute describes this crime as fleeing law enforcement by driving a vehicle with a willful disregard for the safety of other people or property."
23109(A),"makes it illegal to race any motor vehicle on a highway in a speed contest."
10501(A),"It is unlawful for any person to make or file a false or fraudulent report of theft of a vehicle required to be registered under this code with any law enforcement agency with intent to deceive."
22651(R),"(r) If a vehicle is illegally parked and blocks the movement of a legally parked vehicle."
