violation_section,violation_section_description
21651B,"It is unlawful to drive any vehicle upon a highway, except to the right of an intermittent barrier or a dividing section which separates two or more opposing lanes of traffic. Except as otherwise provided in subdivision (c), a violation of this subdivision is a misdemeanor."
2800.2(A),"If a person flees or attempts to elude a pursuing peace officer in violation of Section 2800.1 and the pursued vehicle is driven in a willful or wanton disregard for the safety of persons or property, the person driving the vehicle, upon conviction, shall be punished by imprisonment in the state prison, or by confinement in the county jail for not less than six months nor more than one year. The court may also impose a fine of not less than one thousand dollars ($1,000) nor more than ten thousand dollars ($10,000), or may impose both that imprisonment or confinement and fine."
21453B,"Except when a sign is in place prohibiting a turn, a driver, after stopping as required by subdivision (a), facing a steady circular red signal, may turn right, or turn left from a one-way street onto a one-way street. A driver making that turn shall yield the right-of-way to pedestrians lawfully within an adjacent crosswalk and to any vehicle that has approached or is approaching so closely as to constitute an immediate hazard to the driver, and shall continue to yield the right-of-way to that vehicle until the driver can proceed with reasonable safety"
21460A,"If double parallel solid yellow lines are in place, a person driving a vehicle shall not drive to the left of the lines, except as permitted in this section."
21461A,"It is unlawful for a driver of a vehicle to fail to obey a sign or signal defined as regulatory in the federal Manual on Uniform Traffic Control Devices, or a Department of Transportation approved supplement to that manual of a regulatory nature erected or maintained to enhance traffic safety and operations or to indicate and carry out the provisions of this code or a local traffic ordinance or resolution adopted pursuant to a local traffic ordinance, or to fail to obey a device erected or maintained by lawful authority of a public body or official."
21650,"Upon all highways, a vehicle shall be driven upon the right half of the roadway"
21755(A),"The driver of a vehicle may overtake and pass another vehicle upon the right only under conditions permitting that movement in safety. In no event shall that movement be made by driving off the paved or main-traveled portion of the roadway."
22517,"No person shall open the door of a vehicle on the side available to moving traffic unless it is reasonably safe to do so and can be done without interfering with the movement of such traffic, nor shall any person leave a door open on the side of a vehicle available to moving traffic for a period of time longer than necessary to load or unload passengers."
21803A,"The driver of any vehicle approaching any intersection which is controlled by a yield right-of-way sign shall, upon arriving at the sign, yield the right-of-way to any vehicles which have entered the intersection, or which are approaching on the intersecting highway close enough to constitute an immediate hazard, and shall continue to yield the right-of-way to those vehicles until he or she can proceed with reasonable safety"
21800B,"When two vehicles enter an intersection from different highways at the same time, the driver of the vehicle on the left shall yield the right-of-way to the vehicle on his or her immediate right, except that the driver of any vehicle on a terminating highway shall yield the right-of-way to any vehicle on the intersecting continuing highway."
21451A,"A driver facing a circular green signal shall proceed straight through or turn right or left or make a U-turn unless a sign prohibits a U-turn. Any driver, including one turning, shall yield the right-of-way to other traffic and to pedestrians lawfully within the intersection or an adjacent crosswalk."
21456B,"shall not stop a pedestrian for a violation of this section unless a reasonably careful person would realize there is an immediate danger of a collision with a moving vehicle or other device moving exclusively by human power."
23152(G),"It is unlawful for a person who is under the combined influence of any alcoholic beverage and drug to drive a vehicle."
21955,"Between adjacent intersections controlled by traffic control signal devices or by police officers, pedestrians shall not cross the roadway at any place except in a crosswalk."
23103,"A person who drives a vehicle upon a highway in willful or wanton disregard for the safety of persons or property is guilty of reckless driving."
21650.1,"A bicycle operated on a roadway, or the shoulder of a highway, shall be operated in the same direction as vehicles are required to be driven upon the roadway."
21651(A)(2),"Whenever a highway has been divided into two or more roadways by means of intermittent barriers or by means of a dividing section of not less than two feet in width, either unpaved or delineated by curbs, double-parallel lines, or other markings on the roadway, it is unlawful to do either of the following: To make any left, semicircular, or U-turn with the vehicle on the divided highway, except through an opening in the barrier designated and intended by public authorities for the use of vehicles or through a plainly marked opening in the dividing section"
23153(A),"It is unlawful for a person, while under the influence of any alcoholic beverage, to drive a vehicle and concurrently do any act forbidden by law, or neglect any duty imposed by law in driving the vehicle, which act or neglect proximately causes bodily injury to any person other than the driver."
22101D,"When an official traffic control device is placed as required in subdivisions (b) or (c), it is unlawful for a driver of a vehicle to disobey the directions of the official traffic control device."
22109,"No person shall stop or suddenly decrease the speed of a vehicle on a highway without first giving an appropriate signal in the manner provided in this chapter to the driver of any vehicle immediately to the rear when there is opportunity to give the signal"
21755,"The driver of a vehicle may overtake and pass another vehicle upon the right only under conditions permitting that movement in safety. In no event shall that movement be made by driving off the paved or main-traveled portion of the roadway."
23123(A),"A person shall not drive a motor vehicle while using a wireless telephone unless that telephone is specifically designed and configured to allow hands-free listening and talking, and is used in that manner while driving."
21657,"The authorities in charge of any highway may designate any highway, roadway, part of a roadway, or specific lanes upon which vehicular traffic shall proceed in one direction at all or such times as shall be indicated by official traffic control devices. When a roadway has been so designated, a vehicle shall be driven only in the direction designated at all or such times as shall be indicated by traffic control devices."
21235(G),"Operate a motorized scooter upon a sidewalk, except as may be necessary to enter or leave adjacent property."
22515A,"No person driving, or in control of, or in charge of, a motor vehicle shall permit it to stand on any highway unattended without first effectively setting the brakes thereon and stopping the motor thereof."
21651A,"Whenever a highway has been divided into two or more roadways by means of intermittent barriers or by means of a dividing section of not less than two feet in width, either unpaved or delineated by curbs, double-parallel lines, or other markings on the roadway, it is unlawful to do either of the following: (1) To drive any vehicle over, upon, or across the dividing section. (2) To make any left, semicircular, or U-turn with the vehicle on the divided highway, except through an opening in the barrier designated and intended by public authorities for the use of vehicles or through a plainly marked opening in the dividing section."
21800C,"When two vehicles enter an intersection from different highways at the same time and the intersection is controlled from all directions by stop signs, the driver of the vehicle on the left shall yield the right-of-way to the vehicle on his or her immediate right."
22102,"No person in a business district shall make a U-turn, except at an intersection, or on a divided highway where an opening has been provided in accordance with Section 21651.This turning movement shall be made as close as practicable to the extreme left-hand edge of the lanes moving in the driver's direction of travel immediately prior to the initiation of the turning movement, when more than one lane in the direction of travel is present."
21462,"The driver of a vehicle, the person in charge of an animal, a pedestrian, and the motorist of a streetcar shall obey the instructions of an official traffic signal applicable to them and placed as provided by law, unless otherwise directed by a police or traffic officer or when it is necessary for the purpose of avoiding a collision or in case of other emergency"
21457A,"When a red lens is illuminatedwith rapid intermittent flashes,a driver shall stop at a clearly marked limit line, but if none, before entering the crosswalkon the near side of the intersection, or if none, then at the point nearest the intersecting roadway where the driver has a view of approaching traffic on the intersecting roadwaybefore entering it, and the driver may proceed subject to the rules applicable after making a stop at a stop sign."
21651(A)1,"Whenever a highway has been divided into two or more roadways by means of intermittent barriers or by means of a dividing section of not less than two feet in width, either unpaved or delineated by curbs, double-parallel lines, or other markings on the roadway, it is unlawful to do either of the following: (1) To drive any vehicle over, upon, or across the dividing section."
21801B,"A driver having yielded as prescribed in subdivision (a), and having given a signal when and as required by this code, may turn left or complete a U-turn, and the drivers of vehicles approaching the intersection or the entrance to the property or alley from the opposite direction shall yield the right-of-way to the turning vehicle."
14601.1(A),"No person shall drive a motor vehicle when his or her driving privilege is suspended or revoked for any reason other than those listed in Section 14601, 14601.2, or 14601.5, if the person so driving has knowledge of the suspension or revocation. Knowledge shall be conclusively presumed if mailed notice has been given by the department to the person pursuant to Section 13106. The presumption established by this subdivision is a presumption affecting the burden of proof."
21800(D),"The driver of any vehicle approaching an intersection which has official traffic control signals that are inoperative shall stop at the intersection, and may proceed with caution when it is safe to do so. (2) When two vehicles enter an intersection from different highways at the same time, and the official traffic control signals for the intersection are inoperative, the driver of the vehicle on the left shall yield the right-of-way to the vehicle on his or her immediate right, except that the driver of any vehicle on a terminating highway shall yield the right-of-way to any vehicle on the intersecting continuing highway."
21663,"Except as expressly permitted pursuant to this code, including Sections 21100.4and 21114.5, no person shall operate or move a motor vehicle upon a sidewalk except as may be necessary to enter or leave adjacent property."
21208(B),"No person operating a bicycle shall leave a bicycle lane until the movement can be made with reasonable safety and then only after giving an appropriate signal in the manner provided in Chapter 6 (commencing with Section 22100) in the event that any vehicle may be affected by the movement."
14601(A),"No person shall drive a motor vehicle at any time when that person's driving privilege is suspended or revoked for reckless driving in violation of Section 23103,23104, or 23105, any reason listed in subdivision (a) or (c) of Section 12806 authorizing the department to refuse to issue a license, negligent or incompetent operation of a motor vehicle as prescribed in subdivision (e) of Section 12809, or negligent operation as prescribed in Section 12810.5, if the person so driving has knowledge of the suspension or revocation. Knowledge shall be conclusively presumed if mailed notice has been given by the department to the person pursuant to Section 13106. The presumption established by this subdivision is a presumption affecting the burden of proof."
21460.5C,"A vehicle shall not be driven in a designated two-way left-turn lane except when preparing for or making a left turn from or into a highway or when preparing for or making a U-turn when otherwise permitted by law, and shall not be driven in that lane for more than 200 feet while preparing for and making the turn or while preparing to merge into the adjacent lanes of travel. A left turn or U-turn shall not be made from any other lane where a two-way left-turn lane has been designated."
22103,"No person in a residence district shall make a U-turn when any other vehicle is approaching from either direction within 200 feet, except at an intersection when the approaching vehicle is controlled by an official traffic control device."
21806A,"Upon the immediate approach of an authorized emergency vehicle which is sounding a siren and which has at least one lighted lamp exhibiting red light that is visible, under normal atmospheric conditions, from a distance of 1,000 feet to the front of the vehicle, the surrounding traffic shall"
22451B,"No driver or pedestrian shall proceed through, around, or under any railroad or rail transit crossing gate while the gate is closed."
21952,"The driver of any motor vehicle, prior to driving over or upon any sidewalk, shall yield the right-of-way to any pedestrian approaching thereon."
21228,"Any person operating a motorized scooter upon a highway at a speed less than the normal speed of traffic moving in the same direction at that time shall ride as close as practicable to the right-hand curb or right edge of the roadway"
22450,"The driver of any vehicle approaching a stop sign at the entrance to, or within, an intersection shall stop at a limit line, if marked, otherwise before entering the crosswalk on the near side of the intersection."
21202A,"Any person operating a bicycle upon a roadway at a speed less than the normal speed of traffic moving in the same direction at that time shall ride as close as practicable to the right-hand curb or edge of the roadwa"
21754,"driver of a vehicle may overtake and pass to the right of another vehicle only under the following conditions: (a) When the vehicle overtaken is making or about to make a left turn. (b) Upon a highway within a business or residence district with unobstructed pavement of sufficient width for two or more lines of moving vehicles in the direction of travel. (c) Upon any highway outside of a business or residence district with unobstructed pavement of sufficient width and clearly marked for two or more lines of moving traffic in the direction of travel. (d) Upon a one-way street. (e) Upon a highway divided into two roadways where traffic is restricted to one direction upon each of such roadways."
12500B,"A person may not drive a motorcycle, motor-driven cycle, or motorized bicycle upon a highway, unless the person then holds a valid driver's license or endorsement issued under this code for that class, except those persons who are expressly exempted under this code, or those persons specifically authorized to operate motorized bicycles or motorized scooters with a valid driver's license of any class, as specified in subdivision (h) of Section 12804.9."
20001(B)(1),"The driver of a vehicle involved in an accident resulting in injury to a person, other than himself or herself, or in the death of a person shall immediately stop the vehicle at the scene of the accident"
20001(A),"The driver of a vehicle involved in an accident resulting in injury to a person, other than himself or herself, or in the death of a person shall immediately stop the vehicle at the scene of the accident"
2800.1(A),"Any person who, while operating a motor vehicle and with the intent to evade, willfully flees or otherwise attempts to elude a pursuing peace officer's motor vehicle, is guilty of a misdemeanor punishable by imprisonment in a county jail for not more than one year"
21954(B),"The provisions of this section shall not relieve the driver of a vehicle from the duty to exercise due care for the safety of any pedestrian upon a roadway."
38300,"It is unlawful for the driver of any vehicle to disobey any sign, signal, or traffic control device placed or maintained pursuant to Section 38280."
21221.5,"it is unlawful for any person to operate a motorized scooter upon a highway while under the influence of an alcoholic beverage or any drug, or under the combined influence of an alcoholic beverage and any drug."
21209,"No person shall drive a motor vehicle in a bicycle lane established on a roadway pursuant to Section 21207"
22100.5,"No driver shall make a U-turn at an intersection controlled by official traffic signals except as provided in Section 21451, and then only from the far lefthand lane that is lawfully available to traffic moving in the direction of travel from which the turn is commenced.No driver shall make a U-turn at an intersection controlled by official traffic control devices except from the far lefthand lane that is lawfully available to traffic moving in the direction of travel from which the turn is commenced."
22348A,"a person shall not drive a vehicle upon a highway with a speed limit established pursuant to Section 22349 or 22356 at a speed greater than that speed limit."
21453D,"Unless otherwise directed by a pedestrian control signal as provided in Section 21456, a pedestrian facing a steady circular red or red arrow signal shall not enter the roadway"
22400A,"No person shall drive upon a highway at such a slow speed as to impede or block the normal and reasonable movement of traffic unless the reduced speed is necessary for safe operation, becauseof a grade, or in compliance with law."
21461.5,"It shall be unlawful for any pedestrian to fail to obey any sign or signal erected or maintained to indicate or carry out the provisions of this code or any local traffic ordinance or resolution adopted pursuant to a local traffic ordinance, or to fail to obey any device erected or maintained pursuant to Section 21352."
16028(C),"If a peace officer, or a regularly employed and salaried employee of a city or county who has been trained as a traffic collision investigator, is summoned to the scene of an accident described in Section 16000, the driver of a motor vehicle that is in any manner involved in the accident shall furnish written evidence of financial responsibility or may provide electronic verification of evidence of financial responsibility using a mobile electronic device upon the request of the peace officer or traffic collision investigator."
21460(C),"If the double parallel lines, one of which is broken, are in place, a person driving a vehicle shall not drive to the left of the lines, except as follows: (1) If the driver is on the side of the roadway in which the broken line is in place, the driver may cross over the double lines or drive to the left of the double lines when overtaking or passing other vehicles."
24002,"It is unlawful to operate any vehicle or combination of vehicles which is in an unsafe condition, or which is not safely loaded, and which presents an immediate safety hazard."
14601.2(A),"A person shall not drive a motor vehicle at any time when that person's driving privilege is suspended or revoked for a conviction of a violation of Section 23152 or 23153 if the person so driving has knowledge of the suspension or revocation."
23123.5(A),"A person shall not drive a motor vehicle while holding and operating a handheld wireless telephone or an electronic wireless communications device unless the wireless telephone or electronic wireless communications device is specifically designed and configured to allow voice-operated and hands-free operation, and it is used in that manner while driving."
21751,"On a two-lane highway, no vehicle shall be driven to the left side of the center of the roadway in overtaking and passing another vehicle proceeding in the same direction unless the left side is clearly visible and free of oncoming traffic for a sufficient distance ahead to permit such overtaking and passing to be completely made without interfering with the safe operation of any vehicle approaching from the opposite direction."
21456(C),"If a pedestrian control signal showing the words “WALK” or “WAIT” or “DON'T WALK” or other approved symbol is in place, the signal shall indicate as follows"
21456.3(C),"an operator of a bicycle facing a steady red bicycle signal shall stop at a marked limit line, but if none, before entering the crosswalk on the near side of the intersection, or, if none, then before entering the intersection, and shall remain stopped until an indication to proceed is shown."
21208A,"Whenever a bicycle lane has been established on a roadway pursuant to Section 21207, any person operating a bicycle upon the roadway at a speed less than the normal speed of traffic moving in the same direction at that time shall ride within the bicycle lane"
22450(B),"The driver of a vehicle approaching a stop sign at a railroad grade crossing shall stop at a limit line, if marked, otherwise before crossing the first track or entrance to the railroad grade crossing."
UNKNOWN,"UNKNOWN"
21956,"A pedestrian shall not walk upon a roadway outside of a business or residence district otherwise than close to the pedestrian's left-hand edge of the roadway."
23153(F),"It is unlawful for a person, while under the influence of any drug, to drive a vehicle and concurrently do any act forbidden by law, or neglect any duty imposed by law in driving the vehicle, which act or neglect proximately causes bodily injury to any person other than the driver."
22451A,"The driver of any vehicle or pedestrian approaching a railroad or rail transit grade crossing shall stop not less than 15 feet from the nearest rail and shall not proceed until he or she can do so safely"
21752A,"When approaching or upon the crest of a grade or a curve in the highway where the driver's view is obstructed within such distance as to create a hazard in the event another vehicle might approach from the opposite direction, no vehicle shall be driven to th left side of the roadway"
22655A,"When any peace officer, as that term is defined in Chapter 4.5 (commencing with Section 830) of Title 3 of Part 2 of the Penal Codeor any regularly employed and salaried employee who is engaged in directing traffic or enforcing parking statutes and regulations, has reasonable cause to believe that a motor vehicle on a highway or on private property open to the general public onto which the public is explicitly or implicitly invited, located within the territorial limits in which the officer is empowered to act, has been involved in a hit-and-run accident, and the operator of the vehicle has failed to stop and comply with Sections 20002 to 20006, inclusive, the officer may remove the vehicle from the highway or from public or private property for the purpose of inspection."
38305,"No person shall drive an off-highway motor vehicle at a speed greater than is reasonable or prudent and in no event at a speed which endangers the safety of other persons or property."
10851(A),"Any person who drives or takes a vehicle not his or her own, without the consent of the owner thereof, and with intent either to permanently or temporarily deprive the owner thereof of his or her title to or possession of the vehicle, whether with or without intent to steal the vehicle, or any person who is a party or an accessory to or an accomplice in the driving or unauthorized taking or stealing, is guilty of a public offense and, upon conviction thereof, shall be punished by imprisonment in a county jail"
22515B,"No person in control of, or in charge of, any vehicle, other than a motor vehicle, shall permit it to stand on any highway without first effectively setting the brakes thereon, or blocking the wheels thereof, to effectively prevent the movement of the vehicle."
23153(G),"It is unlawful for a person, while under the combined influence of any alcoholic beverage and drug, to drive a vehicle and concurrently do any act forbidden by law, or neglect any duty imposed by law in driving the vehicle, which act or neglect proximately causes bodily injury to any person other than the driver."
21201D,"A bicycle operated during darkness upon a highway, a sidewalk where bicycle operation is not prohibited by the local jurisdiction, or a bikeway shall be equipped with lamp emitting a white light, red reflection, white reflector on each pedal"
24250,"During darkness, a vehicle shall be equipped with lighted lighting equipment as required for the vehicle by this chapter."
21760,"The driver of a motor vehicle overtaking and passing a bicycle that is proceeding in the same direction on a highway shall pass in compliance with the requirements of this article applicable to overtaking and passing a vehicle, and shall do so at a safe distance that does not interfere with the safe operation of the overtaken bicycle, having due regard for the size and speed of the motor vehicle and the bicycle, traffic conditions, weather, visibility, and the surface and width of the highway."
21229(A),"Whenever a class II bicycle lane has been established on a roadway, any person operating a motorized scooter upon the roadway shall ride within the bicycle lane"
16028A,"Upon the demand of a peace officer pursuant to subdivision (b) or upon the demand of a peace officer or traffic collision investigator pursuant to subdivision (c), every person who drives a motor vehicle upon a highway shall provide evidence of financial responsibility for the vehicle that is in effect at the time the demand is made. The evidence of financial responsibility may be provided using a mobile electronic device. However, a peace officer shall not stop a vehicle for the sole purpose of determining whether the vehicle is being driven in violation of this subdivision."
22405(A),"No person shall drive a vehicle on any bridge, elevated structure, tube, or tunnel constituting a part of a highway, at a speed which is greater than the maximum speed which can be maintained with safety to such structure."
21651(C),"Any willful violation of subdivision (b) which results in injury to, or death of, a person shall be punished by imprisonment pursuant to subdivision (h) of Section 1170 of the Penal Code, or imprisonment in a county jail for a period of not more than six months."
22500A,"A person shall not stop, park, or leave standing any vehicle whether attended or unattended, except when necessary to avoid conflict with other traffic or in compliance with the directions of a peace officer or official traffic control device in an intersection except adjacent to curbs"
21456.2(A),"Unless otherwise directed by a bicycle signal as provided in Section 21456.3, an operator of a bicycle shall obey the provisions of this article applicable to the driver of a vehicle."
22108,"Any signal of intention to turn right or left shall be given continuously during the last 100 feet traveled by the vehicle before turning."
14603,"No person shall operate a vehicle in violation of the provisions of a restricted license issued to him."
21451B,"A driver facing a green arrow signal, shown alone or in combination with another indication, shall enter the intersection only to make the movement indicated by that green arrow or any other movement that is permitted by other indications shown at the same time. A driver facing a left green arrow may also make a U-turn unless prohibited by a sign. A driver shall yield the right-of-way to other traffic and to a pedestrian lawfully within the intersection or an adjacent crosswalk."
2800,"It is unlawful to willfully fail or refuse to comply with a lawful order, signal, or direction of a peace officer, as defined in Chapter 4.5 (commencing with Section 830) of Title 3 of Part 2 of the Penal Code, when that peace officer is in uniform and is performing duties pursuant to any of the provisions of this code, or to refuse to submit to a lawful inspection pursuant to this code."
20003(A),"The driver of any vehicle involved in an accident resulting in injury to or death of any person shall also give his or her name, current residence address, the names and current residence addresses of any occupant of the driver's vehicle injured in the accident, the registration number of the vehicle he or she is driving, and the name and current residence address of the owner to the person struck or the driver or occupants of any vehicle collided with, and shall give the information to any traffic or police officer at the scene of the accident."
21950C,"The driver of a vehicle approaching a pedestrian within any marked or unmarked crosswalk shall exercise all due care and shall reduce the speed of the vehicle or take any other action relating to the operation of the vehicle as necessary to safeguard the safety of the pedestrian."
21800(D)(1),"The driver of any vehicle approaching an intersection which has official traffic control signals that are inoperative shall stop at the intersection, and may proceed with caution when it is safe to do so."
22352,"The prima facie limits"
22651O1A,"Persons operating or in charge of any storage facility where vehicles are stored pursuant to Section 22651 shall accept a valid bank credit card or cash for payment of towing and storage by the registered owner, legal owner, or the owner's agent claiming the vehicle. A credit card shall be in the name of the person presenting the card."
23109(C),"A person shall not engage in a motor vehicle exhibition of speed on a highway or in an offstreet parking facility, and a person shall not aid or abet in a motor vehicle exhibition of speed on any highway or in an offstreet parking facility."
38355,"every motor vehicle shall be equipped with a service brake system which is in good working order and adequate to control the movement of, and to stop and hold to the limit of traction of, such vehicle or combination of vehicles under all conditions of loading and upon any grade on which it is operated."
22411,"No person shall operate a motorized scooter at a speed in excess of 15 miles per hour."
22526(D),"A driver of a vehicle shall not enter a railroad or rail transit crossing, notwithstanding any official traffic control device or signal indication to proceed, unless there is sufficient space on the other side of the railroad or rail transit crossing to accommodate the vehicle driven and any railway vehicle, including, but not limited to, a train, trolley, or city transit vehicle."
23114(A),"a vehicle shall not be driven or moved on any highway unless the vehicle is so constructed, covered, or loaded as to prevent any of its contents or load other than clear water or feathers from live birds from dropping, sifting, leaking, blowing, spilling, or otherwise escaping from the vehicle."
21706,"No motor vehicle, except an authorized emergency vehicle, shall follow within 300 feet of any authorized emergency vehiclebeing operated under the provisions of Section 21055."
22105,"No person shall make a U-turn upon anyhighway where the driver of such vehicle does not have an unobstructed view for 200 feet in both directions along the highway and of any traffic thereon."
23153(B),"It is unlawful for a person, while having 0.08 percent or more, by weight, of alcohol in his or her blood to drive a vehicle and concurrently do any act forbidden by law, or neglect any duty imposed by law in driving the vehicle, which act or neglect proximately causes bodily injury to any person other than the driver."
22655,"When any peace officer, as that term is defined in Chapter 4.5 (commencing with Section 830) of Title 3 of Part 2 of the Penal Codeor any regularly employed and salaried employee who is engaged in directing traffic or enforcing parking statutes and regulations, has reasonable cause to believe that a motor vehicle on a highway or on private property open to the general public onto which the public is explicitly or implicitly invited, located within the territorial limits in which the officer is empowered to act, has been involved in a hit-and-run accident, and the operator of the vehicle has failed to stop and comply with Sections 20002 to 20006, inclusive, the officer may remove the vehicle from the highway or from public or private property for the purpose of inspection."
22651P,"A vehicle so removed from the highway or public land, or from private property after having been on a highway or public land, shall not be released to the registered owner or his or her agent, except upon presentation of the registered owner's or his or her agent's currently valid driver's license to operate the vehicle and proof of current vehicle registration, to the impounding law enforcement agency, or upon order of a court."
21655B,"Any trailer bus, except as provided in Section 21655.5, and any vehicle subject to the provisions of Section 22406 shall be driven in the lane or lanes designated pursuant to subdivision (a) whenever signs have been erected giving notice of that designation. Except as otherwise provided in this subdivision, when a specific lane or lanes have not been so designated, any of those vehicles shall be driven in the right-hand lane for traffic or as close as practicable to the right edge or curb. If, however, a specific lane or lanes have not been designated on a divided highway having four or more clearly marked lanes for traffic in one direction, any of those vehicles may also be driven in the lane to the immediate left of that right-hand lane, unless otherwise prohibited under this code. When overtaking and passing another vehicle proceeding in the same direction, the driver shall use either the designated lane, the lane to the immediate left of the right-hand lane, or the right-hand lane for traffic as permitted under this code."
21703A,"The driver of a motor vehicle shall not follow another vehicle more closely than is reasonable and prudent, having due regard for the speed of such vehicle and the traffic upon, and the condition of, the roadway."
21235(B),"Operate a motorized scooter on a highway with a speed limit in excess of 25 miles per hour unless the motorized scooter is operated within a Class II or Class IV bikeway, except that a local authority may, by ordinance or resolution, authorize the operation of a motorized scooter outside of a Class II or Class IV bikeway on a highway with a speed limit of up to 35 miles per hour. The 15 mile per hour maximum speed limit for the operation of a motorized scooter specified in Section 22411 applies to the operation of a motorized scooter on all highways, including bikeways, regardless of a higher speed limit applicable to the highway."
26451,"The parking brake shall be adequate to hold the vehicle or combination of vehicles stationary on any grade on which it is operated under all conditions of loading on a surface free from snow, ice or loose material. In any event the parking brake shall be capable of locking the braked wheels to the limit of traction."
